Periodo,Esparrago,Maiz amarillo duro,Palta,Uva,Temperatura,Precipitacion,Humedad,IS_esparrago,IS_Maiz amarillo duro,IS_palta,IS_Uva
1/05/2018,10549.80,5309.15,46965.22,3766.30,22.80,0.15,79.15,13644.20,7917.50,15757.20,3684.15
1/06/2018,10098.40,31521.60,61102.73,3373.05,20.70,0.15,80.03,13645.20,5659.50,15826.20,3702.15
1/07/2018,9055.85,17416.50,18425.96,3388.80,20.23,0.25,79.85,13673.20,4104.50,15868.20,3702.95
1/08/2018,9681.80,5935.75,15049.86,4256.30,19.38,1.00,80.48,13673.20,3592.00,16018.20,3702.95
1/09/2018,11129.50,2635.50,240.00,4292.60,19.45,1.20,80.33,13673.20,3572.00,16074.20,3702.95
1/10/2018,12038.35,5239.30,5112.27,4993.10,19.85,1.15,77.68,13673.20,3520.00,16099.20,3704.95
1/11/2018,13588.35,11167.51,4458.61,6354.31,20.68,2.60,77.86,13673.20,2903.50,16239.20,3704.95
1/12/2018,11228.50,5494.60,3735.41,5754.25,22.85,1.85,76.69,13673.20,2925.50,16248.80,3704.95
1/01/2019,10649.10,4427.00,1204.65,7478.70,25.06,9.89,78.26,14127.00,4731.00,15305.00,3773.00
1/02/2019,13779.00,3120.50,1476.23,6044.60,25.44,4.89,75.51,13407.00,4831.00,15335.00,3800.00
1/03/2019,12087.40,1822.80,15138.32,5772.00,25.02,16.43,78.67,14384.00,4880.00,15958.00,3640.00
1/04/2019,12296.90,3191.90,22730.85,3828.88,23.48,6.73,78.34,14546.00,4975.00,15763.00,3606.00
1/05/2019,10480.50,5356.10,50407.40,3191.10,21.90,0.29,79.34,14477.00,4225.00,15706.00,3538.00
1/06/2019,10225.90,21818.50,64722.44,2922.00,19.88,0.19,80.36,14332.00,4403.00,15798.00,3765.00
1/07/2019,9306.00,36139.00,18848.39,3419.60,19.71,0.11,80.19,14771.00,4457.00,15921.00,3526.00
1/08/2019,10078.00,8417.40,6599.68,3757.80,18.94,1.15,81.27,14471.00,4467.00,15613.00,3886.00
1/09/2019,11504.65,7895.61,10102.25,4096.30,19.11,0.55,79.98,14554.00,4345.00,15620.00,3788.00
1/10/2019,12387.10,18030.60,4960.60,4970.70,19.46,0.39,77.99,14745.00,4750.00,15689.00,3824.00
1/11/2019,13811.40,5382.20,4410.85,7433.20,20.54,0.70,76.47,14589.00,4440.00,15786.00,3761.00
1/12/2019,11013.50,7820.00,2125.30,7108.80,22.94,2.06,79.11,14526.00,4699.00,15644.00,3815.00
1/01/2020,10873.90,5350.80,1161.50,8032.30,24.92,10.41,76.98,14530.00,4592.00,15754.00,3802.00
1/02/2020,17483.90,2855.80,1857.21,7345.30,25.37,14.61,76.25,14833.00,4510.00,15976.00,3541.00
1/03/2020,14774.40,2704.90,14866.44,5730.50,24.47,12.23,78.25,14755.00,4586.00,15365.00,3837.00
1/04/2020,14209.10,5314.00,24209.13,3613.00,23.42,5.76,78.14,14639.00,4321.00,15836.00,3943.00
1/05/2020,10322.90,4416.80,70140.11,2740.50,21.45,0.21,80.02,14907.00,4589.00,15679.00,3593.00
